### EIS DATA FILE
### Instrument: Simulated
### Number of datasets: 3
### Columns: frequency_Hz, Z_real, Z_imag, dataset_id
### ---------------------------------------------

frequency_Hz,Z_real,Z_imag,dataset_id
100000.0,5.529216495362039,-0.20969588140864098,1
79123.42618981327,5.120048426897419,-0.11792333274394713,1
62605.16572014815,5.293623414852988,-0.2566548915440922,1
49535.3520895917,5.672271185726237,-0.5339495637241787,1
39194.06774847221,5.560272549919654,0.032924396008896364,1
31011.689265747755,4.7068248667867385,-0.1461947544589822,1
24537.51106639817,5.285039672334378,-0.5214904455381832,1
19414.919457438817,4.954613837495691,0.09784689361215992,1
15361.749466718296,4.969067887990595,-0.3239918371370672,1
12154.742500762859,5.123233130058341,-0.04988664378993015,1
9617.248711152963,5.043298654470324,0.135982728112218,1
7609.496685459875,5.436418754973374,-0.06588147242928943,1
6020.894493336125,5.228529674517328,0.20965171373716068,1
4763.93801040134,5.036851288653989,-0.5374883843986908,1
3769.3909753883595,5.1337160848697145,-0.09041096839662413,1
2982.471286216888,5.1009921812152035,-0.47225728541329187,1
2359.8334667821937,5.449645133551489,-0.5984496249084326,1
1867.1810912919207,4.940722934985154,-0.5998332358230699,1
1477.3776525985113,5.09754680936603,-0.6320813537001232,1
1168.9518164985775,4.7495637725465585,-0.6638603164415736,1
924.9147277217335,4.243355077444934,-1.2098217540249343,1
731.8242219076175,5.210862926490521,-0.8169362419257289,1
579.0443980602483,5.282932294826523,-1.2341854647115929,1
458.1597669054491,4.815042714058476,-2.196948251425705,1
362.5117049988532,5.7411156945578155,-1.7470424831589941,1
286.8316813342009,4.659788231211244,-2.2022619143881643,1
226.95105366946683,5.167115907548414,-3.146014711295703,1
179.5714494371639,5.188573665866186,-4.47194230734324,1
142.0830832533921,5.85002913297917,-5.894678672052706,1
112.42100350620862,6.062260970116196,-6.707200833286185,1
88.95134973108227,6.034554610105471,-8.956639107890146,1
70.38135554931554,6.68014765308356,-10.71845327666797,1
55.688139909452666,7.207236786404211,-13.785522413053625,1
44.06236427773568,8.285181000455715,-16.891410990219722,1
